 Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month;Inflation Rate
Czechia;5583;26616;277240;1518487;3;2021;2021-3;2.3
Denmark;4974;79039;338809;2784762;3;2021;2021-3;0.9
Estonia;53;2023;19224;188718;3;2021;2021-3;0.9
France;122;1009;18129;75563;3;2021;2021-3;1.4
Germany;0;1;3;661;3;2021;2021-3;2
Greece;231;3751;9383;280301;3;2021;2021-3;-2
Hungary;1459;8011;65704;260507;3;2021;2021-3;3.9
Iceland;367;5893;24249;267215;3;2021;2021-3;3.8
Ireland;5608;21097;208191;641063;3;2021;2021-3;0.1
Italy;239;4591;14826;234982;3;2021;2021-3;0.6
Latvia;0;69;8;3225;3;2021;2021-3;0.3
Lithuania;247;3769;14111;206700;3;2021;2021-3;1.6
Luxembourg;131;773;6036;60959;3;2021;2021-3;2.5
Malta;249;2017;14854;101038;3;2021;2021-3;0.1
Netherlands;72;387;6393;28872;3;2021;2021-3;1.9
North Macedonia;242;1245;14250;90083;3;2021;2021-3;2.7
Norway;755;16571;163686;1251426;3;2021;2021-3;3.4
Poland;34;656;22350;94465;3;2021;2021-3;4.4
Portugal;8154;52076;556066;2239332;3;2021;2021-3;0.1
Romania;486;16830;25848;806100;3;2021;2021-3;2.5
Serbia;5;79;640;4356;3;2021;2021-3;1.7
Slovakia;747;5190;126247;585506;3;2021;2021-3;1.5
Slovenia;2278;11530;104370;662690;3;2021;2021-3;0.1
Spain;186;4358;22702;213127;3;2021;2021-3;1.2
Sweden;523;13544;127206;793302;3;2021;2021-3;2.1
Switzerland;2507;31076;506585;3208173;3;2021;2021-3;-0.2
Turkey;6082;32132;300275;1652409;3;2021;2021-3;16.2
Belgium;3209;15859;69330;397100;4;2021;2021-4;2.1
Bulgaria;283;2502;35165;353846;4;2021;2021-4;2
Croatia;326;9915;54804;648847;4;2021;2021-4;2.1
Cyprus;65;390;17509;61455;4;2021;2021-4;1.2
Czechia;2813;29429;103555;1622042;4;2021;2021-4;3.1
Denmark;6062;85101;515326;3300088;4;2021;2021-4;1.5
Estonia;61;2084;16903;205621;4;2021;2021-4;1.6
France;120;1129;9268;84831;4;2021;2021-4;1.6
Germany;0;1;2;663;4;2021;2021-4;2.1
Greece;292;4043;23971;304272;4;2021;2021-4;-1.1
Hungary;2112;10123;81045;341552;4;2021;2021-4;5.2
Iceland;961;6854;55404;322619;4;2021;2021-4;3.5
Ireland;5610;26707;130403;771466;4;2021;2021-4;1.1
Italy;115;4706;12008;246990;4;2021;2021-4;1
Latvia;0;69;8;3233;4;2021;2021-4;1.7
Lithuania;290;4059;26154;232854;4;2021;2021-4;2.4
Luxembourg;57;830;5668;66627;4;2021;2021-4;3.3
Malta;247;2264;14276;115314;4;2021;2021-4;0.1
Netherlands;26;413;1299;30171;4;2021;2021-4;1.7
North Macedonia;220;1465;6577;96660;4;2021;2021-4;3.1
Norway;582;17153;208745;1460171;4;2021;2021-4;3.2
Poland;80;736;16894;111359;4;2021;2021-4;5.1
Portugal;13588;65664;494376;2733708;4;2021;2021-4;-0.1
Romania;122;16952;17221;823321;4;2021;2021-4;2.7
Serbia;11;90;699;5055;4;2021;2021-4;2.6
Slovakia;1037;6227;94161;679667;4;2021;2021-4;1.7
Slovenia;1202;12732;44684;707374;4;2021;2021-4;2.2
Spain;206;4564;24224;237351;4;2021;2021-4;2
Sweden;547;14091;156592;949894;4;2021;2021-4;2.8
Switzerland;7282;38358;1421796;4629969;4;2021;2021-4;-0.1
Turkey;10386;42518;377924;2030333;4;2021;2021-4;17.1
Belgium;1798;17657;21121;418221;5;2021;2021-5;2.5
Bulgaria;349;2851;40593;394439;5;2021;2021-5;2.3
Croatia;290;10205;42789;691636;5;2021;2021-5;2.4
Cyprus;71;461;10094;71549;5;2021;2021-5;1.5
Czechia;920;30349;41188;1663230;5;2021;2021-5;2.7
Denmark;5823;90924;379252;3679340;5;2021;2021-5;1.9
Estonia;41;2125;30589;236210;5;2021;2021-5;3.2
France;103;1232;6445;91276;5;2021;2021-5;1.8
Germany;0;1;55;718;5;2021;2021-5;2.4
Greece;730;4773;39691;343963;5;2021;2021-5;-1.2
Hungary;1978;12101;68492;410044;5;2021;2021-5;5.3
Iceland;1160;8014;33515;356134;5;2021;2021-5;3.3
Ireland;1882;28589;33153;804619;5;2021;2021-5;1.9
Italy;51;4757;14796;261786;5;2021;2021-5;1.2
Latvia;0;69;10;3243;5;2021;2021-5;2.6
Lithuania;294;4353;30562;263416;5;2021;2021-5;3.5
Luxembourg;41;871;3919;70546;5;2021;2021-5;4
Malta;295;2559;17782;133096;5;2021;2021-5;0.2
Netherlands;6;419;359;30530;5;2021;2021-5;2
North Macedonia;118;1583;2945;99605;5;2021;2021-5;3.3
Norway;505;17658;186287;1646458;5;2021;2021-5;2.8
Poland;47;783;14004;125363;5;2021;2021-5;4.6
Portugal;8384;74048;110428;2844136;5;2021;2021-5;0.5
Romania;59;17011;18232;841553;5;2021;2021-5;3.2
Serbia;0;90;35;5090;5;2021;2021-5;3.5
Slovakia;627;6854;32557;712224;5;2021;2021-5;2
Slovenia;472;13204;19879;727253;5;2021;2021-5;2.2
Spain;150;4714;16462;253813;5;2021;2021-5;2.4
Sweden;450;14541;121042;1070936;5;2021;2021-5;2.4
Switzerland;9047;47405;612942;5242911;5;2021;2021-5;0.3
Turkey;8018;50536;172161;2202494;5;2021;2021-5;16.6
Belgium;370;18027;3294;421515;6;2021;2021-6;2.6
Bulgaria;271;3122;21341;415780;6;2021;2021-6;2.4
Croatia;84;10289;7983;699619;6;2021;2021-6;2.2
Cyprus;21;482;2587;74136;6;2021;2021-6;2.2
Czechia;88;30437;5430;1668660;6;2021;2021-6;2.5
Denmark;1149;92073;46888;3726228;6;2021;2021-6;1.9
Estonia;16;2141;11472;247682;6;2021;2021-6;3.7
France;47;1279;2709;93985;6;2021;2021-6;1.9
Germany;0;1;54;772;6;2021;2021-6;2.1
Greece;502;5275;19911;363874;6;2021;2021-6;0.6
Hungary;589;12690;18069;428113;6;2021;2021-6;5.3
Iceland;186;8200;3511;359645;6;2021;2021-6;4
Ireland;192;28781;3504;808123;6;2021;2021-6;1.6
Italy;18;4775;9159;270945;6;2021;2021-6;1.3
Latvia;0;69;213;3456;6;2021;2021-6;2.7
Lithuania;64;4417;4042;267458;6;2021;2021-6;3.5
Luxembourg;9;880;846;71392;6;2021;2021-6;3.4
Malta;124;2683;4112;137208;6;2021;2021-6;0.2
Netherlands;1;420;73;30603;6;2021;2021-6;1.7
North Macedonia;26;1609;585;100190;6;2021;2021-6;2.3
Norway;102;17760;36413;1682871;6;2021;2021-6;3
Poland;9;792;5609;130972;6;2021;2021-6;4.1
Portugal;1253;75301;7266;2851402;6;2021;2021-6;-0.6
Romania;63;17074;27124;868677;6;2021;2021-6;3.5
Serbia;0;90;2;5092;6;2021;2021-6;3.2
Slovakia;177;7031;4077;716301;6;2021;2021-6;2.5
Slovenia;83;13287;3357;730610;6;2021;2021-6;1.7
Spain;49;4763;3527;257340;6;2021;2021-6;2.5
Sweden;87;14628;18319;1089255;6;2021;2021-6;1.8
Switzerland;2171;49576;166116;5409027;6;2021;2021-6;0.5
Turkey;1759;52295;31787;2234281;6;2021;2021-6;17.5
Belgium;166;18193;2114;423629;7;2021;2021-7;1.4
Bulgaria;281;3403;25576;441356;7;2021;2021-7;2.2
Croatia;43;10332;11618;711237;7;2021;2021-7;2.7
Cyprus;32;514;25964;100100;7;2021;2021-7;2.7
Czechia;16;30453;5343;1674003;7;2021;2021-7;2.7
Denmark;287;92360;31717;3757945;7;2021;2021-7;1.7
Estonia;10;2151;19424;267106;7;2021;2021-7;4.9
France;44;1323;8053;102038;7;2021;2021-7;1.5
Germany;0;1;201;973;7;2021;2021-7;3.1
Greece;439;5714;40149;404023;7;2021;2021-7;0.7
Hungary;229;12919;54857;482970;7;2021;2021-7;4.7
Iceland;45;8245;2969;362614;7;2021;2021-7;3.7
Ireland;27;28808;1220;809343;7;2021;2021-7;2.2
Italy;20;4795;22135;293080;7;2021;2021-7;1
Latvia;0;69;4403;7859;7;2021;2021-7;2.8
Lithuania;17;4434;2272;269730;7;2021;2021-7;4.3
Luxembourg;13;893;3235;74627;7;2021;2021-7;3.3
Malta;30;2713;1271;138479;7;2021;2021-7;0.3
Netherlands;1;421;3062;33665;7;2021;2021-7;1.4
North Macedonia;15;1624;940;101130;7;2021;2021-7;2.8
Norway;61;17821;159997;1842868;7;2021;2021-7;3.3
Poland;7;799;5170;136142;7;2021;2021-7;4.7
Portugal;267;75568;2546;2853948;7;2021;2021-7;1.1
Romania;218;17292;83287;951964;7;2021;2021-7;3.8
Serbia;0;90;24;5116;7;2021;2021-7;3.1
Slovakia;73;7104;3811;720112;7;2021;2021-7;2.9
Slovenia;20;13307;996;731606;7;2021;2021-7;2
Spain;10;4773;1414;258754;7;2021;2021-7;2.9
Sweden;16;14644;7928;1097183;7;2021;2021-7;1.8
Switzerland;1303;50879;178351;5587378;7;2021;2021-7;0.5
Turkey;554;52849;14382;2248663;7;2021;2021-7;18.9
Belgium;512;18705;27519;451148;8;2021;2021-8;4.7
Bulgaria;365;3768;39008;480364;8;2021;2021-8;2.5
Croatia;100;10432;62346;773583;8;2021;2021-8;3.1
Cyprus;120;634;15278;115378;8;2021;2021-8;3.3
Czechia;30;30483;6299;1680302;8;2021;2021-8;3.1
Denmark;477;92837;184062;3942007;8;2021;2021-8;1.8
Estonia;38;2189;30452;297558;8;2021;2021-8;5
France;98;1421;23246;125284;8;2021;2021-8;2.4
Germany;1;2;27;1000;8;2021;2021-8;3.4
Greece;1537;7251;139095;543118;8;2021;2021-8;1.2
Hungary;792;13711;104716;587686;8;2021;2021-8;4.9
Iceland;80;8325;10570;373184;8;2021;2021-8;3.7
Ireland;36;28844;2965;812308;8;2021;2021-8;3
Italy;81;4876;54336;347416;8;2021;2021-8;2.5
Latvia;8;77;1431;9290;8;2021;2021-8;3.6
Lithuania;219;4653;16825;286555;8;2021;2021-8;5
Luxembourg;7;900;2497;77124;8;2021;2021-8;3.5
Malta;28;2741;3838;142317;8;2021;2021-8;0.4
Netherlands;19;440;2421;36086;8;2021;2021-8;2.7
North Macedonia;92;1716;13234;114364;8;2021;2021-8;3.3
Norway;213;18034;93289;1936157;8;2021;2021-8;3.8
Poland;15;814;22245;158387;8;2021;2021-8;5
Portugal;106;75674;6201;2860149;8;2021;2021-8;1.3
Romania;424;17716;84044;1036008;8;2021;2021-8;4
Serbia;0;90;205;5321;8;2021;2021-8;4.2
Slovakia;162;7266;37505;757617;8;2021;2021-8;3.3
Slovenia;24;13331;2906;734512;8;2021;2021-8;2.1
Spain;21;4794;7987;266741;8;2021;2021-8;3.3
Sweden;49;14693;27034;1124217;8;2021;2021-8;2.5
Switzerland;5334;56213;759503;6346881;8;2021;2021-8;0.8
Turkey;889;53738;36277;2284940;8;2021;2021-8;19.2
Belgium;1744;20449;41217;492365;9;2021;2021-9;3.8
Bulgaria;334;4102;51785;532149;9;2021;2021-9;4
Croatia;186;10618;59341;832924;9;2021;2021-9;3.5
Cyprus;45;679;4063;119441;9;2021;2021-9;3.6
Czechia;36;30519;10706;1691008;9;2021;2021-9;4
Denmark;1450;94287;261501;4203508;9;2021;2021-9;2.4
Estonia;62;2251;10884;308442;9;2021;2021-9;6.4
France;94;1515;12664;137948;9;2021;2021-9;2.7
Germany;0;2;127;1127;9;2021;2021-9;4.1
Greece;1593;8844;64037;607155;9;2021;2021-9;1.9
Hungary;1016;14727;61552;649238;9;2021;2021-9;5.5
Iceland;270;8595;26700;399884;9;2021;2021-9;3.8
Ireland;132;28976;9033;821341;9;2021;2021-9;3.8
Italy;162;5038;38195;385611;9;2021;2021-9;2.9
Latvia;1;78;698;9988;9;2021;2021-9;4.7
Lithuania;439;5092;27516;314071;9;2021;2021-9;6.4
Luxembourg;7;907;2462;79586;9;2021;2021-9;4
Malta;138;2879;12467;154784;9;2021;2021-9;0.7
Netherlands;17;457;1001;37087;9;2021;2021-9;3
North Macedonia;179;1895;15284;129648;9;2021;2021-9;4
Norway;143;18177;60007;1996164;9;2021;2021-9;4.8
Poland;36;850;29009;187396;9;2021;2021-9;5.6
Portugal;229;75903;15272;2875421;9;2021;2021-9;1.3
Romania;224;17940;34757;1070765;9;2021;2021-9;5.2
Serbia;1;91;107;5428;9;2021;2021-9;5.6
Slovakia;785;8051;153449;911066;9;2021;2021-9;4
Slovenia;129;13460;16266;750778;9;2021;2021-9;2.7
Spain;110;4904;23327;290068;9;2021;2021-9;4
Sweden;168;14861;25769;1149986;9;2021;2021-9;3
Switzerland;6725;62938;666758;7013639;9;2021;2021-9;0.8
Turkey;1982;55720;110464;2395404;9;2021;2021-9;19.6
Belgium;3469;23918;108670;601035;10;2021;2021-10;5.4
Bulgaria;544;4646;69909;602058;10;2021;2021-10;5.2
Croatia;199;10817;40486;873410;10;2021;2021-10;3.9
Cyprus;27;706;4234;123675;10;2021;2021-10;4.4
Czechia;345;30864;76075;1767083;10;2021;2021-10;4.8
Denmark;2714;97001;414585;4618093;10;2021;2021-10;3.2
Estonia;72;2323;32716;341158;10;2021;2021-10;6.8
France;176;1691;19582;157530;10;2021;2021-10;3.2
Germany;1;3;1085;2212;10;2021;2021-10;4.6
Greece;1245;10089;114233;721388;10;2021;2021-10;2.8
Hungary;1286;16013;96989;746227;10;2021;2021-10;6.6
Iceland;625;9220;70457;470341;10;2021;2021-10;4.2
Ireland;853;29829;53369;874710;10;2021;2021-10;5.1
Italy;226;5264;62744;448355;10;2021;2021-10;3.2
Latvia;2;80;1165;11153;10;2021;2021-10;6
Lithuania;983;6075;80323;394394;10;2021;2021-10;8.2
Luxembourg;8;915;4491;84077;10;2021;2021-10;5.3
Malta;740;3619;64353;219137;10;2021;2021-10;1.4
Netherlands;4;461;565;37652;10;2021;2021-10;3.7
North Macedonia;208;2103;14666;144314;10;2021;2021-10;4.7
Norway;318;18495;135490;2131654;10;2021;2021-10;4
Poland;50;900;20738;208134;10;2021;2021-10;6.4
Portugal;1441;77344;126503;3001924;10;2021;2021-10;1.8
Romania;208;18148;25601;1096366;10;2021;2021-10;6.5
Serbia;1;92;119;5547;10;2021;2021-10;6.5
Slovakia;1904;9955;231683;1142749;10;2021;2021-10;4.4
Slovenia;659;14119;88463;839241;10;2021;2021-10;3.5
Spain;265;5169;47174;337242;10;2021;2021-10;5.4
Sweden;173;15034;23541;1173527;10;2021;2021-10;3.3
Switzerland;7472;70410;995401;8009040;10;2021;2021-10;1.3
Turkey;12307;68027;540834;2936238;10;2021;2021-10;19.9
Belgium;4125;28043;87593;688628;11;2021;2021-11;7.1
Bulgaria;421;5067;51265;653323;11;2021;2021-11;6.3
Croatia;309;11126;132817;1006227;11;2021;2021-11;4.7
Cyprus;11;717;8531;132206;11;2021;2021-11;4.7
Czechia;2219;33083;366698;2133781;11;2021;2021-11;4.8
Denmark;7267;104268;1204053;5822146;11;2021;2021-11;3.8
Estonia;158;2481;91716;432874;11;2021;2021-11;8.6
France;227;1918;26531;184061;11;2021;2021-11;3.4
Germany;10;13;1341;3553;11;2021;2021-11;6
Greece;1885;11974;119205;840593;11;2021;2021-11;4
Hungary;2033;18046;181742;927969;11;2021;2021-11;7.5
Iceland;1539;10759;132968;603309;11;2021;2021-11;3.9
Ireland;3769;33598;222089;1096799;11;2021;2021-11;5.4
Italy;191;5455;116192;564547;11;2021;2021-11;3.9
Latvia;1;81;2799;13952;11;2021;2021-11;7.4
Lithuania;1400;7475;116827;511221;11;2021;2021-11;9.3
Luxembourg;25;940;7384;91461;11;2021;2021-11;6.3
Malta;849;4468;33274;252411;11;2021;2021-11;2.4
Netherlands;7;468;1581;39233;11;2021;2021-11;5.9
North Macedonia;182;2285;12559;156873;11;2021;2021-11;4.8
Norway;1108;19603;466758;2598412;11;2021;2021-11;5.8
Poland;150;1050;54845;262979;11;2021;2021-11;7.4
Portugal;6066;83410;490815;3492739;11;2021;2021-11;2.6
Romania;276;18424;52076;1148442;11;2021;2021-11;6.7
Serbia;1;93;432;5979;11;2021;2021-11;7.5
Slovakia;1633;11588;107644;1250393;11;2021;2021-11;4.8
Slovenia;1680;15799;221098;1060339;11;2021;2021-11;4.9
Spain;523;5692;81312;418554;11;2021;2021-11;5.5
Sweden;109;15143;29887;1203414;11;2021;2021-11;3.9
Switzerland;5823;76233;715360;8724400;11;2021;2021-11;1.5
Turkey;17387;85414;491589;3427827;11;2021;2021-11;21.3
Belgium;2940;30983;59556;748184;12;2021;2021-12;6.6
Bulgaria;332;5399;32139;685462;12;2021;2021-12;6.6
Croatia;401;11527;163741;1169968;12;2021;2021-12;5.2
Cyprus;56;773;39152;171358;12;2021;2021-12;4.8
Czechia;3311;36394;350599;2484380;12;2021;2021-12;5.4
Denmark;11626;115894;1402502;7224648;12;2021;2021-12;3.4
Estonia;204;2685;347356;780230;12;2021;2021-12;12
France;369;2287;98493;282554;12;2021;2021-12;3.4
Germany;0;13;1182;4735;12;2021;2021-12;5.7
Greece;1142;13116;69863;910456;12;2021;2021-12;4.4
Hungary;2962;21008;355486;1283455;12;2021;2021-12;7.4
Iceland;1850;12609;117635;720944;12;2021;2021-12;3.9
Ireland;5038;38636;165560;1262359;12;2021;2021-12;5.7
Italy;154;5609;207944;772491;12;2021;2021-12;4.2
Latvia;6;87;2535;16487;12;2021;2021-12;7.9
Lithuania;634;8109;55333;566554;12;2021;2021-12;10.7
Luxembourg;42;982;17794;109255;12;2021;2021-12;5.4
Malta;419;4887;24608;277019;12;2021;2021-12;2.6
Netherlands;11;479;15011;54244;12;2021;2021-12;6.4
North Macedonia;90;2375;4122;160995;12;2021;2021-12;4.9
Norway;1489;21092;566175;3164587;12;2021;2021-12;6.1
Poland;255;1305;141366;404345;12;2021;2021-12;8
Portugal;14564;97974;612874;4105613;12;2021;2021-12;2.8
Romania;575;18999;289381;1437823;12;2021;2021-12;6.7
Serbia;3;96;1181;7160;12;2021;2021-12;7.9
Slovakia;813;12401;32068;1282461;12;2021;2021-12;5.1
Slovenia;1817;17616;177312;1237651;12;2021;2021-12;5.1
Spain;458;6150;49082;467636;12;2021;2021-12;6.6
Sweden;230;15373;144183;1347597;12;2021;2021-12;4.5
Switzerland;4011;80244;429809;9154209;12;2021;2021-12;1.3
Turkey;7848;93262;182860;3610687;12;2021;2021-12;36.1
Austria;305;13631;576584;1859585;1;2022;2022-1;4.5
Belgium;675;28655;1025167;3157577;1;2022;2022-1;8.5
Bulgaria;2138;33121;191028;939212;1;2022;2022-1;7.7
Croatia;1168;13777;214771;935715;1;2022;2022-1;5.5
Cyprus;87;860;82713;254071;1;2022;2022-1;5
Czechia;898;37292;528389;3012769;1;2022;2022-1;8.8
Denmark;353;3038;851346;1631576;1;2022;2022-1;4.9
Estonia;93;1944;89520;322469;1;2022;2022-1;11
France;6991;144271;8671632;18949638;1;2022;2022-1;3.3
Germany;3977;119871;2733491;9958139;1;2022;2022-1;5.1
Greece;2518;23526;646943;1930398;1;2022;2022-1;5.5
Hungary;1776;40412;291122;1553481;1;2022;2022-1;7.9
Iceland;8;46;36425;67484;1;2022;2022-1;4.3
Ireland;126;5735;399605;1172096;1;2022;2022-1;5
Italy;9193;148511;4522546;11088526;1;2022;2022-1;5.1
Latvia;338;5225;111968;388987;1;2022;2022-1;7.5
Lithuania;304;8413;177481;744035;1;2022;2022-1;12.3
Luxembourg;38;1020;60342;169597;1;2022;2022-1;4.6
Malta;68;547;13298;67542;1;2022;2022-1;4.1
Netherlands;255;21347;1145564;4310151;1;2022;2022-1;7.6
North Macedonia;351;8383;34727;268191;1;2022;2022-1;6.7
Norway;134;1439;374183;778528;1;2022;2022-1;3.1
Poland;7578;105552;752280;4857893;1;2022;2022-1;8.7
Portugal;909;19908;1277951;2715774;1;2022;2022-1;3.4
Romania;1347;60318;412467;2226305;1;2022;2022-1;7.2
Serbia;658;13570;311851;1662446;1;2022;2022-1;8.3
Slovakia;447;18063;178279;1415930;1;2022;2022-1;7.7
Slovenia;309;6459;243405;711041;1;2022;2022-1;6
Spain;5342;97282;3313812;10205467;1;2022;2022-1;6.2
Sweden;845;16218;811325;2158922;1;2022;2022-1;3.9
Switzerland;254;12285;664616;2211456;1;2022;2022-1;1.4
Turkey;3343;87045;1460024;11437585;1;2022;2022-1;48.7
Austria;697;14328;829474;2689059;2;2022;2022-2;5.5
Belgium;1051;29706;395643;3553220;2;2022;2022-2;9.5
Bulgaria;2337;35458;148584;1087796;2;2022;2022-2;8.4
Croatia;1253;15030;118874;1054589;2;2022;2022-2;6.3
Cyprus;104;964;66353;320424;2;2022;2022-2;5.8
Czechia;1415;38707;562638;3575407;2;2022;2022-2;10
Denmark;846;3884;842709;2474285;2;2022;2022-2;5.3
Estonia;195;2139;156929;479398;2;2022;2022-2;11.6
France;7612;151883;3788320;22737958;2;2022;2022-2;4.2
Germany;5486;125357;4889422;14847561;2;2022;2022-2;5.5
Greece;2343;25869;478392;2408790;2;2022;2022-2;6.3
Hungary;2545;42957;234144;1787625;2;2022;2022-2;8.4
Iceland;16;62;54955;122439;2;2022;2022-2;4.4
Ireland;90;5825;128610;1300706;2;2022;2022-2;5.7
Italy;7978;156489;1771111;12859637;2;2022;2022-2;6.2
Latvia;459;5684;260515;649502;2;2022;2022-2;8.8
Lithuania;487;8900;468497;1212532;2;2022;2022-2;14
Luxembourg;74;1094;28554;198151;2;2022;2022-2;7.8
Malta;57;604;3687;71229;2;2022;2022-2;4.2
Netherlands;289;21636;2022228;6332379;2;2022;2022-2;7.3
North Macedonia;618;9001;28890;297081;2;2022;2022-2;7.7
Norway;159;1598;469100;1247628;2;2022;2022-2;3.5
Poland;6138;111690;815387;5673280;2;2022;2022-2;8.1
Portugal;1155;21063;667581;3383355;2;2022;2022-2;4.4
Romania;3489;63807;508658;2734963;2;2022;2022-2;7.9
Serbia;1629;15199;245826;1908272;2;2022;2022-2;8.8
Slovakia;678;18741;490015;1905945;2;2022;2022-2;8.3
Slovenia;676;7135;181927;892968;2;2022;2022-2;7
Spain;4563;101845;901540;11107007;2;2022;2022-2;7.6
Sweden;1365;17583;287875;2446797;2;2022;2022-2;4.4
Switzerland;366;12651;578415;2789871;2;2022;2022-2;1.9
Turkey;6981;94026;2536913;13974498;2;2022;2022-2;54.4
Austria;1026;15354;1081125;3770184;3;2022;2022-3;6.6
Belgium;545;30251;252353;3805573;3;2022;2022-3;9.3
Bulgaria;971;36429;45306;1133102;3;2022;2022-3;10.5
Croatia;490;15520;39463;1094052;3;2022;2022-3;7.3
Cyprus;72;1036;90349;410773;3;2022;2022-3;6.2
Czechia;863;39570;211952;3787359;3;2022;2022-3;11.9
Denmark;717;4601;261872;2736157;3;2022;2022-3;6
Estonia;190;2329;57847;537245;3;2022;2022-3;14.8
France;3639;155522;2283544;25021502;3;2022;2022-3;5.1
Germany;6378;131735;5701832;20549393;3;2022;2022-3;7.6
Greece;1524;27393;529484;2938274;3;2022;2022-3;8
Hungary;1278;44235;57036;1844661;3;2022;2022-3;8.6
Iceland;28;90;57190;179629;3;2022;2022-3;5
Ireland;133;5958;142964;1443670;3;2022;2022-3;6.9
Italy;4045;160534;1649746;14509383;3;2022;2022-3;6.8
Latvia;439;6123;141116;790618;3;2022;2022-3;11.5
Lithuania;213;9113;133921;1346453;3;2022;2022-3;15.6
Luxembourg;68;1162;31883;230034;3;2022;2022-3;7.9
Malta;27;631;5867;77096;3;2022;2022-3;4.5
Netherlands;373;22009;1421003;7753382;3;2022;2022-3;11.7
North Macedonia;207;9208;8033;305114;3;2022;2022-3;9
Norway;741;2339;151694;1399322;3;2022;2022-3;4.7
Poland;3512;115202;278543;5951823;3;2022;2022-3;10.2
Portugal;577;21640;328142;3711497;3;2022;2022-3;5.5
Romania;1249;65056;107854;2842817;3;2022;2022-3;9.6
Serbia;569;15768;62555;1970827;3;2022;2022-3;9.2
Slovakia;539;19280;272644;2178589;3;2022;2022-3;9.6
Slovenia;293;7428;65530;958498;3;2022;2022-3;6
Spain;1607;103452;455724;11562731;3;2022;2022-3;9.8
Sweden;828;18411;38200;2484997;3;2022;2022-3;6.3
Switzerland;349;13000;664001;3453872;3;2022;2022-3;2.2
Turkey;3774;97800;826179;14800677;3;2022;2022-3;61.1
Austria;698;16052;360765;4130949;4;2022;2022-4;7.1
Belgium;619;30870;227193;4032766;4;2022;2022-4;9.3
Bulgaria;420;36849;19790;1152892;4;2022;2022-4;12.1
Croatia;262;15782;23676;1117728;4;2022;2022-4;9.6
Cyprus;92;1128;58690;469463;4;2022;2022-4;8.6
Czechia;490;40060;105463;3892822;4;2022;2022-4;13.2
Denmark;499;5100;60064;2796221;4;2022;2022-4;7.4
Estonia;86;2415;18113;555358;4;2022;2022-4;19.1
France;3510;159032;3318505;28340007;4;2022;2022-4;5.4
Germany;5215;136950;3781759;24331152;4;2022;2022-4;7.8
Greece;1607;29000;348925;3287199;4;2022;2022-4;9.1
Hungary;730;44965;49698;1894359;4;2022;2022-4;9.6
Iceland;23;113;6387;186016;4;2022;2022-4;5.6
Ireland;213;6171;70063;1513733;4;2022;2022-4;7.3
Italy;4004;164538;1791962;16301345;4;2022;2022-4;6.3
Latvia;236;6359;26695;817313;4;2022;2022-4;13.1
Lithuania;61;9174;45950;1392403;4;2022;2022-4;16.6
Luxembourg;71;1233;27376;257410;4;2022;2022-4;9
Malta;57;688;13496;90592;4;2022;2022-4;5.4
Netherlands;232;22241;285542;8038924;4;2022;2022-4;11.2
North Macedonia;68;9276;4094;309208;4;2022;2022-4;10.6
Norway;532;2871;48947;1448269;4;2022;2022-4;5.9
Poland;1120;116322;47803;5999626;4;2022;2022-4;11.4
Portugal;572;22212;266375;3977872;4;2022;2022-4;7.4
Romania;421;65477;45513;2888330;4;2022;2022-4;11.7
Serbia;188;15956;30827;2001654;4;2022;2022-4;9.5
Slovakia;146;19426;94771;2273360;4;2022;2022-4;10.9
Slovenia;223;7651;46456;1004954;4;2022;2022-4;7.4
Spain;1289;104741;309928;11872659;4;2022;2022-4;8.3
Sweden;381;18792;14643;2499640;4;2022;2022-4;6.6
Switzerland;170;13170;148617;3602489;4;2022;2022-4;2.3
Turkey;876;98676;215593;15016270;4;2022;2022-4;70
Austria;160;16212;142749;4273698;5;2022;2022-5;8.1
Belgium;351;31221;113394;4146160;5;2022;2022-5;9.9
Cyprus;45;1173;11742;481205;5;2022;2022-5;8.8
Estonia;33;2448;6475;561833;5;2022;2022-5;20.1
France;3116;162148;1207570;29547577;5;2022;2022-5;5.8
Germany;2373;139323;1954424;26285576;5;2022;2022-5;8.7
Greece;840;29840;160736;3447935;5;2022;2022-5;10.7
Ireland;94;6265;24154;1537887;5;2022;2022-5;8.2
Italy;3514;168052;1232341;17533686;5;2022;2022-5;7.3
Latvia;81;6440;8621;825934;5;2022;2022-5;16.4
Lithuania;16;9190;7964;1400367;5;2022;2022-5;18.5
Luxembourg;43;1276;14963;272373;5;2022;2022-5;9.1
Malta;33;721;3984;94576;5;2022;2022-5;5.6
Netherlands;83;22324;44685;8083609;5;2022;2022-5;10.2
Portugal;903;23115;701951;4679823;5;2022;2022-5;8.1
Slovakia;42;19468;17670;2291030;5;2022;2022-5;11.8
Slovenia;140;7791;19707;1024661;5;2022;2022-5;8.7
Spain;2011;106752;530358;12403017;5;2022;2022-5;8.5
