 Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month;Inflation Rate
Netherlands;82;133;4254;9749;11;2020;2020-11;0.7
North Macedonia;221;487;18084;34881;11;2020;2020-11;3
Norway;2276;9648;227120;517525;11;2020;2020-11;0.4
Poland;49;328;17869;36224;11;2020;2020-11;3.7
Portugal;12589;17026;708644;962332;11;2020;2020-11;-0.4
Romania;2161;4517;160780;279400;11;2020;2020-11;1.7
Serbia;3;45;767;1586;11;2020;2020-11;1.7
Slovakia;757;1549;129728;169214;11;2020;2020-11;1.6
Slovenia;1422;1843;67344;112720;11;2020;2020-11;-1.1
Spain;1280;1567;51758;75871;11;2020;2020-11;-0.8
Sweden;1223;7158;142702;257557;11;2020;2020-11;0.2
Switzerland;3759;13558;432928;1400429;11;2020;2020-11;-0.8
Turkey;5822;12213;379190;722679;11;2020;2020-11;14
United Kingdom;342;1005;21114;39057;11;2020;2020-11;0.3
Austria;2916;6519;84877;365776;12;2020;2020-12;1
Belgium;3895;7644;61133;202880;12;2020;2020-12;0.4
Bulgaria;300;1451;64954;199962;12;2020;2020-12;0
Croatia;3002;7238;142643;459660;12;2020;2020-12;-0.3
Cyprus;99;170;13743;24534;12;2020;2020-12;-0.8
Czechia;3978;12461;227357;747132;12;2020;2020-12;2.4
Denmark;24839;43982;721288;1783652;12;2020;2020-12;0.4
Estonia;545;983;58157;128833;12;2020;2020-12;-0.9
Finland;134;323;17212;34740;12;2020;2020-12;0.2
France;202;651;11482;36226;12;2020;2020-12;0
Germany;0;0;118;620;12;2020;2020-12;-0.7
Greece;1361;2628;94179;229763;12;2020;2020-12;-2.4
Hungary;2555;5002;33699;141912;12;2020;2020-12;2.8
Iceland;2360;4072;86346;212951;12;2020;2020-12;2.3
Ireland;5610;10562;111692;328812;12;2020;2020-12;-1
Italy;231;2086;35468;107907;12;2020;2020-12;-0.3
Latvia;12;44;1893;2821;12;2020;2020-12;-0.5
Lithuania;1532;2523;86661;146808;12;2020;2020-12;-0.1
Luxembourg;186;461;12425;45922;12;2020;2020-12;-0.3
